Town_Point,Date_Creat,Date_Retir,Town_Pid,Xcoord,Ycoord,Wkt_Geom,Town_Class,Town_Name,Population,State_Pid,Qld_Town_Point_Shp_Town_Point,Qld_Town_Point_Shp_Date_Creat
TWP31088,31/07/2013,,TWN31088,146.0781,-18.62689,NULL,3,Trebonne,319,3,TWP31088,7/31/2013
TWP31089,31/07/2013,,TWN31089,146.2856,-18.58094,NULL,3,Halifax,431,3,TWP31089,7/31/2013
TWP31090,31/07/2013,,TWN31090,146.2953,-18.70771,NULL,2,Allingham,1233,3,TWP31090,7/31/2013
TWP31091,31/07/2013,,TWN31091,152.6613,-25.46311,NULL,1,Aldershot,569,3,TWP31091,7/31/2013
TWP31092,31/07/2013,,TWN31092,152.596,-25.34752,NULL,1,Torbanlea,290,3,TWP31092,7/31/2013
TWP31093,31/07/2013,,TWN31093,146.0976,-17.83471,NULL,2,Bingil Bay,369,3,TWP31093,7/31/2013
TWP31094,31/07/2013,,TWN31094,145.612,-17.51108,NULL,2,Millaa Millaa,272,3,TWP31094,7/31/2013
TWP31095,31/07/2013,,TWN31095,146.107,-17.86879,NULL,2,Mission Beach,765,3,TWP31095,7/31/2013
TWP31096,31/07/2013,,TWN31096,145.3852,-17.38376,NULL,2,Herberton,934,3,TWP31096,7/31/2013
TWP31097,31/07/2013,,TWN31097,145.4776,-17.22463,NULL,2,Tolga,878,3,TWP31097,7/31/2013
TWP31098,31/07/2013,,TWN31098,145.1096,-17.15058,NULL,2,Dimbulah,366,3,TWP31098,7/31/2013
TWP31099,31/07/2013,,TWN31099,145.4842,-17.60534,NULL,2,Ravenshoe,860,3,TWP31099,7/31/2013
TWP31100,31/07/2013,,TWN31100,151.0445,-28.80429,NULL,2,Smithfield,1159,3,TWP31100,7/31/2013
TWP31101,31/07/2013,,TWN31101,145.4662,-16.48533,NULL,2,Port Douglas,3205,3,TWP31101,7/31/2013
TWP31102,31/07/2013,,TWN31102,151.8502,-27.30485,NULL,1,Goombungee,668,3,TWP31102,7/31/2013
TWP31103,31/07/2013,,TWN31103,151.7183,-27.43202,NULL,1,Oakey,4284,3,TWP31103,7/31/2013
TWP31104,31/07/2013,,TWN31104,151.0795,-28.41751,NULL,2,Inglewood,819,3,TWP31104,7/31/2013
TWP31105,31/07/2013,,TWN31105,149.1664,-21.15497,NULL,1,Mackay,74219,3,TWP31105,7/31/2013
TWP31106,31/07/2013,,TWN31106,149.313,-21.37793,NULL,2,Campwin Beach,575,3,TWP31106,7/31/2013
TWP31107,31/07/2013,,TWN31107,149.0554,-21.16249,NULL,2,Walkerston,3089,3,TWP31107,7/31/2013
TWP31108,31/07/2013,,TWN31108,146.6387,-23.65028,NULL,4,Alpha,349,3,TWP31108,7/31/2013
TWP31109,31/07/2013,,TWN31109,151.9992,-26.6713,NULL,1,Nanango,3566,3,TWP31109,7/31/2013
TWP31110,31/07/2013,,TWN31110,153.1051,-27.06703,NULL,0,Ningi,8028,3,TWP31110,7/31/2013
TWP31111,31/07/2013,,TWN31111,153.0514,-27.12968,NULL,0,Beachmere,3144,3,TWP31111,7/31/2013
TWP31112,31/07/2013,,TWN31112,153.2035,-27.07303,NULL,1,Woorim,17041,3,TWP31112,7/31/2013
TWP31113,31/07/2013,,TWN31113,152.5638,-26.94019,NULL,1,Kilcoy,1714,3,TWP31113,7/31/2013
TWP31114,31/07/2013,,TWN31114,152.848,-26.75878,NULL,1,Maleny,2489,3,TWP31114,7/31/2013
