"town_name","acute_time","acute_care_transit_location","acute_care_centre"
"Maryborough",215,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Mundubbera",215,"Mundubbera Hospital","Brisbane (PAH/RBWH)"
"Maaroom",243,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Gayndah",224,"Gayndah Hospital","Brisbane (PAH/RBWH)"
"Taroom",261,"Taroom Hospital","Brisbane (PAH/RBWH)"
"Boonooroo - Tuan",253,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Poona",205,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Tiaro",246,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Augathella",339,"Augathella Hospital","Brisbane (PAH/RBWH)"
"Injune",333,"Injune Hospital","Brisbane (PAH/RBWH)"
"Bauple Forest",274,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Rainbow Beach",159,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Tin Can Bay",159,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Glenwood",272,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Cooloola Village",155,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Curra",208,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Kilkivan",164,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Wandoan",321,"Miles Hospital","Brisbane (PAH/RBWH)"
"Proston",170,"Murgon Hospital","Brisbane (PAH/RBWH)"
"Goomeri",173,"Murgon Hospital","Brisbane (PAH/RBWH)"
"Gympie",160,"Gympie Hospital","Brisbane (PAH/RBWH)"
"The Palms",160,"Gympie Hospital","Brisbane (PAH/RBWH)"
"Nahrunda",160,"Gympie Hospital","Brisbane (PAH/RBWH)"
"Gowrie",325,"Charleville Hospital","Brisbane (PAH/RBWH)"
"Pie Creek",160,"Gympie Hospital","Brisbane (PAH/RBWH)"
"Murgon",170,"Murgon Hospital","Brisbane (PAH/RBWH)"
"Boreen Point",144,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Cherbourg",170,"Cherbourg Hospital","Brisbane (PAH/RBWH)"
"Wondai",167,"Kingaroy Hospital","Brisbane (PAH/RBWH)"
"Cooran",139,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Amamoor",145,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Cooroibah",176,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Pomona",171,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Forest Acres",136,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Black Mountain",168,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Charleville",309,"Charleville Hospital","Brisbane (PAH/RBWH)"
"Sunshine Beach",170,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Cooroy",164,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Doonan - Tinbeerwah",165,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Weyba Downs",162,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Imbil",146,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Eumundi",160,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Mitchell",327,"Mitchell Hospital","Brisbane (PAH/RBWH)"
"Kingaroy",165,"Kingaroy Hospital","Brisbane (PAH/RBWH)"
"Yandina",155,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Roma",321,"Roma Hospital","Brisbane (PAH/RBWH)"
"Wallumbilla",386,"Roma Hospital","Brisbane (PAH/RBWH)"
"Kenilworth",139,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
