RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 55 - 55 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 17:07:54,1990-01-01 02:00:00,1990-01-01 07:07:54,253.40232987,407.81233479,307.82831512,,,,,55,1,1388,Russell Island,153.3905,-27.68322,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 28 - 28 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:54:30,1990-01-01 02:00:00,1990-01-01 06:54:30,265.54852958,427.35978751,294.83664096,,,,,28,1,1361,Cecil Plains,151.1936,-27.53233,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 99 - 99 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 20:22:49.000001,1990-01-01 02:00:00,1990-01-01 10:22:49,480.13252409,772.69994225,504.19455141,,,,,99,1,1432,Dirranbandi,148.2271,-28.5841,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 20 - 20 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:07:04,1990-01-01 02:00:00,1990-01-01 06:07:04,223.95574973,360.42256294,247.23394241,,,,,20,1,1353,Brisbane,153.0249,-27.47072,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 408 - 408 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 01:38:30,1990-01-01 02:00:00,1990-01-01 15:38:30,786.75029163,1266.15439365,820.2333241,,,,,408,1,1078,Wongaling Beach,146.091,-17.91401,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 241 - 241 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 03:19:40,1990-01-01 02:00:00,1990-01-01 17:19:40,898.00889933,1445.20812449,923.18648997,,,,,241,1,1133,Julia Creek,141.7435,-20.65701,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 183 - 183 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 14:56:16,1990-01-01 02:00:00,1990-01-01 04:56:16,162.39907752,261.35650373,176.4481751,,,,,183,1,1297,Nambour,152.9592,-26.62753,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 114 - 114 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 13:12:20,1990-01-01 02:00:00,1990-01-01 03:12:20,65.21073069,104.94670807,72.3765808,,,,,114,1,1228,Burrum Heads - East,152.6334,-25.21101,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 12 - 12 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:19:35,1990-01-01 02:00:00,1990-01-01 06:19:35,244.81395362,393.99065535,259.54104872,,,,,12,1,1345,Meringandan West,151.8819,-27.41789,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 38 - 38 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:33:00,1990-01-01 02:00:00,1990-01-01 06:33:00,245.30713154,394.78434986,273.25684323,,,,,38,1,1371,Coochiemudlo Island,153.3328,-27.56886,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
