"SA2_CODE11","value","min","max"
"305031119",34.7197568102126,34.2815896782699,35.1648131087001
"305031120",32.9378337465665,32.4751592381999,33.5577871743061
"305031121",35.831667187715,35.0435355479092,36.7348391704062
"305031122",35.7481587995684,34.9407156063736,36.5409276536054
"305031123",33.5969165033207,33.2446893718842,34.0849665339141
"305031124",35.5018242886326,34.6363589652614,36.538549084074
"305031125",36.5964013575581,35.9844248400253,37.4977713960947
"305031126",32.7088392976999,32.414252514385,33.4664510460028
"305031127",32.9347983570099,32.4540359527034,33.3097619485854
"305031128",33.9370617402353,33.3823196535757,34.4635436458468
"305031129",33.4315511002272,32.9327883280664,33.7865169429076
"305031130",33.9779256716664,33.4265231385882,34.5257156023501
"305031131",34.8884558665877,34.0425219815467,36.1157271071788
"305041132",32.0826431031716,31.1311817821212,32.7736659818207
"305041133",31.6029949745543,31.3871829997407,31.7489668029255
"305041134",31.4274535632552,31.0736366528382,31.9299987527554
"305041135",31.9232109797296,31.6486472626858,32.3504438468087
"305041136",32.2853300452307,31.9159849016498,32.5161013105333
"305041137",31.2507184420294,30.8713526623911,31.5027660914377
"306011138",129.342749421534,127.707331622834,130.414509774786
"306011139",146.901906318076,138.048692382606,154.278413929305
"306011140",130.075450130798,127.925840820989,131.209244310426
"306011141",132.104713444315,128.924191735813,139.315393097856
"306011142",139.045390555063,134.375079800929,144.032540596537
"306011143",134.138800015724,131.478841157971,138.975928427812
"306021144",128.303645144545,126.988698633481,130.263131151074
"306021145",124.733401203158,122.822576196307,127.693485706695
"306021146",126.330437097673,124.760413714236,127.781617940163
"306021147",127.796840815651,126.197137826666,130.986801438005
"306021148",125.085697943789,123.349651479144,155.823125476653
"306021149",126.111160357711,124.635242149596,128.340044452145
"306021150",132.716972062312,126.629603202312,143.125511218881
"306021151",125.981604100866,125.144275724407,126.740789144364
"306021152",124.75269209302,123.664038667706,126.264164189513
"306021153",127.043062217708,126.237685913811,128.331567899287
"306021154",123.926874320138,123.16630231252,125.233648895571
