"SA1_CODE11","seifa_decile","seifa_percentile","ra","ra_name"
30101100214,7,61,0,"Major Cities of Australia"
30101100215,8,76,0,"Major Cities of Australia"
30101100216,9,89,0,"Major Cities of Australia"
30101100217,10,92,0,"Major Cities of Australia"
30101100218,10,94,0,"Major Cities of Australia"
30101100219,9,81,0,"Major Cities of Australia"
30101100220,5,41,0,"Major Cities of Australia"
30101100220,5,41,0,"Major Cities of Australia"
30101100221,10,93,0,"Major Cities of Australia"
30101100221,10,93,0,"Major Cities of Australia"
30101100301,10,96,0,"Major Cities of Australia"
30101100302,5,49,0,"Major Cities of Australia"
30101100303,3,24,0,"Major Cities of Australia"
30101100304,7,64,0,"Major Cities of Australia"
30101100305,7,61,0,"Major Cities of Australia"
30101100306,7,68,0,"Major Cities of Australia"
30101100307,9,85,0,"Major Cities of Australia"
30101100308,8,80,0,"Major Cities of Australia"
30101100309,10,93,0,"Major Cities of Australia"
30101100310,10,95,0,"Major Cities of Australia"
30101100311,8,73,0,"Major Cities of Australia"
30101100312,8,71,0,"Major Cities of Australia"
30101100313,5,42,0,"Major Cities of Australia"
30101100314,5,47,0,"Major Cities of Australia"
30101100315,7,64,0,"Major Cities of Australia"
30101100316,8,75,0,"Major Cities of Australia"
30101100317,7,64,0,"Major Cities of Australia"
30101100318,7,63,0,"Major Cities of Australia"
30101100319,4,40,0,"Major Cities of Australia"
30101100320,4,33,0,"Major Cities of Australia"
30101100321,8,80,0,"Major Cities of Australia"
30101100322,9,81,0,"Major Cities of Australia"
30101100323,9,81,0,"Major Cities of Australia"
30101100324,9,87,0,"Major Cities of Australia"
30101100325,7,68,0,"Major Cities of Australia"
30101100326,NA,NA,0,"Major Cities of Australia"
30101100327,NA,NA,0,"Major Cities of Australia"
30101100328,2,12,0,"Major Cities of Australia"
30101100329,4,38,0,"Major Cities of Australia"
30101100330,4,37,0,"Major Cities of Australia"
30101100331,8,73,0,"Major Cities of Australia"
30101100332,3,27,0,"Major Cities of Australia"
30101100333,6,56,0,"Major Cities of Australia"
30101100334,3,28,0,"Major Cities of Australia"
30101100335,9,86,0,"Major Cities of Australia"
30101100336,9,84,0,"Major Cities of Australia"
30101100401,7,64,0,"Major Cities of Australia"
30101100402,8,75,0,"Major Cities of Australia"
30101100403,2,13,0,"Major Cities of Australia"
30101100404,3,25,0,"Major Cities of Australia"
30101100405,6,55,0,"Major Cities of Australia"
30101100406,4,31,0,"Major Cities of Australia"
30101100407,2,18,0,"Major Cities of Australia"
30101100408,2,16,0,"Major Cities of Australia"
30101100409,5,48,0,"Major Cities of Australia"
30101100410,4,40,0,"Major Cities of Australia"
30101100411,5,42,0,"Major Cities of Australia"
30101100412,8,79,0,"Major Cities of Australia"
30101100413,8,77,0,"Major Cities of Australia"
30101100414,5,44,0,"Major Cities of Australia"
30101100415,8,74,0,"Major Cities of Australia"
30101100416,7,64,0,"Major Cities of Australia"
30101100417,9,87,0,"Major Cities of Australia"
30101100418,8,75,0,"Major Cities of Australia"
30101100419,4,39,0,"Major Cities of Australia"
30101100420,6,53,0,"Major Cities of Australia"
30101100421,6,56,0,"Major Cities of Australia"
30101100422,10,92,0,"Major Cities of Australia"
30101100423,5,44,0,"Major Cities of Australia"
30101100424,6,60,0,"Major Cities of Australia"
30101100425,9,90,0,"Major Cities of Australia"
30101100426,7,65,0,"Major Cities of Australia"
30101100427,8,76,0,"Major Cities of Australia"
30101100428,8,71,0,"Major Cities of Australia"
30101100429,5,43,0,"Major Cities of Australia"
30101100430,10,95,0,"Major Cities of Australia"
30101100431,10,96,0,"Major Cities of Australia"
30101100432,9,89,0,"Major Cities of Australia"
30101100433,8,78,0,"Major Cities of Australia"
30101100434,6,56,0,"Major Cities of Australia"
30101100435,6,51,0,"Major Cities of Australia"
30101100436,3,23,0,"Major Cities of Australia"
30101100437,NA,NA,0,"Major Cities of Australia"
30101100438,2,14,0,"Major Cities of Australia"
30101100439,8,75,0,"Major Cities of Australia"
30101100440,8,72,0,"Major Cities of Australia"
30101100441,3,27,0,"Major Cities of Australia"
30101100442,2,18,0,"Major Cities of Australia"
30101100443,4,38,0,"Major Cities of Australia"
30101100444,4,37,0,"Major Cities of Australia"
30101100501,8,72,0,"Major Cities of Australia"
30101100502,6,55,0,"Major Cities of Australia"
30101100503,9,83,0,"Major Cities of Australia"
30101100504,9,86,0,"Major Cities of Australia"
30101100505,8,73,0,"Major Cities of Australia"
30101100506,3,30,0,"Major Cities of Australia"
30101100507,3,30,0,"Major Cities of Australia"
30101100508,2,11,0,"Major Cities of Australia"
30101100509,3,23,0,"Major Cities of Australia"
30101100510,4,34,0,"Major Cities of Australia"
30101100601,10,97,0,"Major Cities of Australia"
30101100602,9,88,0,"Major Cities of Australia"
30101100603,6,59,0,"Major Cities of Australia"
30101100604,9,83,0,"Major Cities of Australia"
30101100605,6,52,0,"Major Cities of Australia"
30101100606,6,58,0,"Major Cities of Australia"
30101100607,5,45,0,"Major Cities of Australia"
30101100608,6,56,0,"Major Cities of Australia"
30101100609,10,91,0,"Major Cities of Australia"
30101100610,6,55,0,"Major Cities of Australia"
30101100611,6,60,0,"Major Cities of Australia"
30101100612,7,65,0,"Major Cities of Australia"
30101100613,9,90,0,"Major Cities of Australia"
30101100614,9,88,0,"Major Cities of Australia"
30101100615,7,62,0,"Major Cities of Australia"
30101100616,6,51,0,"Major Cities of Australia"
30101100617,9,89,0,"Major Cities of Australia"
30101100618,9,89,0,"Major Cities of Australia"
30101100619,9,84,0,"Major Cities of Australia"
30101100620,9,90,0,"Major Cities of Australia"
30101100621,10,92,0,"Major Cities of Australia"
30101100622,10,98,0,"Major Cities of Australia"
30101100623,7,68,0,"Major Cities of Australia"
30101100624,9,90,0,"Major Cities of Australia"
30101100624,9,90,0,"Major Cities of Australia"
30102100701,5,45,0,"Major Cities of Australia"
30102100702,7,63,0,"Major Cities of Australia"
30102100703,9,81,0,"Major Cities of Australia"
30102100704,7,70,0,"Major Cities of Australia"
30102100705,6,56,0,"Major Cities of Australia"
30102100706,8,79,0,"Major Cities of Australia"
30102100707,4,40,0,"Major Cities of Australia"
30102100708,8,71,0,"Major Cities of Australia"
30102100709,7,68,0,"Major Cities of Australia"
30102100710,9,88,0,"Major Cities of Australia"
30102100711,7,63,0,"Major Cities of Australia"
30102100712,9,81,0,"Major Cities of Australia"
30102100713,6,54,0,"Major Cities of Australia"
30102100714,3,29,0,"Major Cities of Australia"
30102100715,2,20,0,"Major Cities of Australia"
30102100716,2,12,0,"Major Cities of Australia"
30102100717,7,64,0,"Major Cities of Australia"
30102100718,7,64,0,"Major Cities of Australia"
30102100719,4,39,0,"Major Cities of Australia"
30102100720,4,39,0,"Major Cities of Australia"
30102100721,4,35,0,"Major Cities of Australia"
30102100722,8,74,0,"Major Cities of Australia"
30102100723,10,99,0,"Major Cities of Australia"
30102100724,10,97,0,"Major Cities of Australia"
30102100725,4,33,0,"Major Cities of Australia"
30102100726,1,7,0,"Major Cities of Australia"
30102100727,3,21,0,"Major Cities of Australia"
30102100728,NA,NA,0,"Major Cities of Australia"
30102100729,NA,NA,0,"Major Cities of Australia"
30102100730,1,8,0,"Major Cities of Australia"
30102100731,3,22,0,"Major Cities of Australia"
30102100732,10,98,0,"Major Cities of Australia"
30102100733,10,99,0,"Major Cities of Australia"
30102100734,8,74,0,"Major Cities of Australia"
30102100735,10,98,0,"Major Cities of Australia"
30102100736,10,97,0,"Major Cities of Australia"
30102100737,10,96,0,"Major Cities of Australia"
30102100801,8,74,0,"Major Cities of Australia"
30102100802,10,99,0,"Major Cities of Australia"
30102100802,10,99,0,"Major Cities of Australia"
30102100803,9,85,0,"Major Cities of Australia"
30102100804,7,68,0,"Major Cities of Australia"
30102100805,9,87,0,"Major Cities of Australia"
30102100806,10,91,0,"Major Cities of Australia"
30102100807,NA,NA,0,"Major Cities of Australia"
30102100808,4,34,0,"Major Cities of Australia"
30102100809,10,96,0,"Major Cities of Australia"
30102100809,10,96,0,"Major Cities of Australia"
30102100810,7,66,0,"Major Cities of Australia"
30102100811,10,95,0,"Major Cities of Australia"
30102100812,7,64,0,"Major Cities of Australia"
30102100901,8,76,0,"Major Cities of Australia"
30102100902,7,65,0,"Major Cities of Australia"
30102100903,4,32,0,"Major Cities of Australia"
30102100904,3,22,0,"Major Cities of Australia"
30102100905,7,64,0,"Major Cities of Australia"
30102100906,4,34,0,"Major Cities of Australia"
30102100907,6,51,0,"Major Cities of Australia"
30102100908,5,50,0,"Major Cities of Australia"
30102100909,7,65,1,"Inner Regional Australia"
30102100910,6,52,1,"Inner Regional Australia"
30102100911,7,64,0,"Major Cities of Australia"
30102100912,9,83,0,"Major Cities of Australia"
30102100913,10,91,0,"Major Cities of Australia"
30102100914,10,91,0,"Major Cities of Australia"
30102100915,10,94,0,"Major Cities of Australia"
30102100916,9,86,0,"Major Cities of Australia"
30102100917,8,80,0,"Major Cities of Australia"
30102100918,10,96,0,"Major Cities of Australia"
30102100919,8,71,0,"Major Cities of Australia"
30102100920,9,88,0,"Major Cities of Australia"
30102100921,NA,NA,0,"Major Cities of Australia"
30102100922,6,58,0,"Major Cities of Australia"
30102100923,9,90,0,"Major Cities of Australia"
30102100924,10,92,0,"Major Cities of Australia"
30102100925,10,97,0,"Major Cities of Australia"
30102100926,8,80,0,"Major Cities of Australia"
30102100927,4,38,0,"Major Cities of Australia"
30102100928,7,62,0,"Major Cities of Australia"
30102100929,7,66,0,"Major Cities of Australia"
30102100930,2,15,0,"Major Cities of Australia"
30102101001,NA,NA,1,"Inner Regional Australia"
30102101002,2,20,2,"Outer Regional Australia"
30102101003,1,2,2,"Outer Regional Australia"
30102101004,2,19,3,"Remote Australia"
30102101005,5,42,3,"Remote Australia"
30102101006,3,29,1,"Inner Regional Australia"
30102101007,1,3,1,"Inner Regional Australia"
30102101008,1,6,1,"Inner Regional Australia"
30102101009,1,6,1,"Inner Regional Australia"
30102101010,1,3,1,"Inner Regional Australia"
30102101011,1,4,1,"Inner Regional Australia"
30102101012,1,6,2,"Outer Regional Australia"
30102101013,4,32,3,"Remote Australia"
30102101014,1,4,2,"Outer Regional Australia"
30102101015,1,9,2,"Outer Regional Australia"
30102101016,1,5,2,"Outer Regional Australia"
30102101017,1,2,2,"Outer Regional Australia"
30102101018,3,28,3,"Remote Australia"
30102101019,2,14,1,"Inner Regional Australia"
30102101020,1,2,2,"Outer Regional Australia"
30102101021,2,16,2,"Outer Regional Australia"
30102101022,4,31,2,"Outer Regional Australia"
30102101023,2,13,1,"Inner Regional Australia"
30102101024,2,12,2,"Outer Regional Australia"
30102101025,1,4,2,"Outer Regional Australia"
30102101101,10,93,0,"Major Cities of Australia"
30102101102,7,62,0,"Major Cities of Australia"
30102101103,9,83,0,"Major Cities of Australia"
30102101104,9,89,0,"Major Cities of Australia"
30102101105,8,74,0,"Major Cities of Australia"
30102101106,8,73,0,"Major Cities of Australia"
30102101107,10,97,0,"Major Cities of Australia"
30102101108,9,89,0,"Major Cities of Australia"
30102101109,8,77,0,"Major Cities of Australia"
30102101110,10,99,0,"Major Cities of Australia"
30102101111,10,92,0,"Major Cities of Australia"
30102101112,7,61,0,"Major Cities of Australia"
30102101113,10,98,0,"Major Cities of Australia"
30102101114,9,87,0,"Major Cities of Australia"
30102101115,10,99,0,"Major Cities of Australia"
30102101116,7,68,0,"Major Cities of Australia"
30102101201,9,89,0,"Major Cities of Australia"
30102101202,9,82,0,"Major Cities of Australia"
30102101203,9,87,0,"Major Cities of Australia"
30102101204,9,88,0,"Major Cities of Australia"
30102101205,10,93,0,"Major Cities of Australia"
30102101206,9,86,0,"Major Cities of Australia"
30102101207,10,91,0,"Major Cities of Australia"
30102101208,10,99,0,"Major Cities of Australia"
30102101209,9,90,0,"Major Cities of Australia"
30102101210,5,48,0,"Major Cities of Australia"
30102101211,9,85,0,"Major Cities of Australia"
30102101212,10,91,0,"Major Cities of Australia"
30102101213,9,87,0,"Major Cities of Australia"
30102101214,9,84,0,"Major Cities of Australia"
30102101215,6,60,0,"Major Cities of Australia"
30102101216,9,81,0,"Major Cities of Australia"
30102101217,9,88,0,"Major Cities of Australia"
30102101218,5,48,0,"Major Cities of Australia"
30102101219,8,72,0,"Major Cities of Australia"
30102101220,6,55,0,"Major Cities of Australia"
30102101221,8,76,0,"Major Cities of Australia"
30102101222,10,91,0,"Major Cities of Australia"
30102101223,10,96,0,"Major Cities of Australia"
30102101224,2,19,0,"Major Cities of Australia"
30102101225,6,58,0,"Major Cities of Australia"
30102101226,6,58,0,"Major Cities of Australia"
30102101227,5,43,0,"Major Cities of Australia"
30102101228,7,64,0,"Major Cities of Australia"
30102101229,8,72,0,"Major Cities of Australia"
30102101301,3,27,0,"Major Cities of Australia"
30102101302,3,27,0,"Major Cities of Australia"
30102101303,8,75,0,"Major Cities of Australia"
30102101304,8,74,0,"Major Cities of Australia"
30102101305,4,39,0,"Major Cities of Australia"
30102101306,8,78,0,"Major Cities of Australia"
30102101307,8,77,0,"Major Cities of Australia"
30102101308,5,43,0,"Major Cities of Australia"
30102101309,4,36,0,"Major Cities of Australia"
30102101310,9,88,0,"Major Cities of Australia"
30102101311,8,71,0,"Major Cities of Australia"
30102101312,9,83,0,"Major Cities of Australia"
30102101313,5,45,0,"Major Cities of Australia"
30102101314,3,29,0,"Major Cities of Australia"
30102101315,3,30,0,"Major Cities of Australia"
30102101316,5,42,0,"Major Cities of Australia"
30102101317,6,53,0,"Major Cities of Australia"
30102101318,8,77,0,"Major Cities of Australia"
30102101319,8,79,0,"Major Cities of Australia"
30102101320,7,66,0,"Major Cities of Australia"
30102101321,10,92,0,"Major Cities of Australia"
30102101322,7,62,0,"Major Cities of Australia"
30102101323,NA,NA,0,"Major Cities of Australia"
30102101324,7,67,0,"Major Cities of Australia"
30102101325,5,48,0,"Major Cities of Australia"
30102101326,5,42,0,"Major Cities of Australia"
30102101327,5,47,0,"Major Cities of Australia"
30102101328,5,45,0,"Major Cities of Australia"
30102101329,6,60,0,"Major Cities of Australia"
30102101330,6,52,0,"Major Cities of Australia"
30102101331,6,51,0,"Major Cities of Australia"
30102101332,4,40,0,"Major Cities of Australia"
30102101333,5,44,0,"Major Cities of Australia"
30102101334,5,44,0,"Major Cities of Australia"
30102101335,7,69,0,"Major Cities of Australia"
30102101336,2,14,0,"Major Cities of Australia"
30103101401,NA,NA,0,"Major Cities of Australia"
30103101402,NA,NA,2,"Outer Regional Australia"
30103101501,3,29,0,"Major Cities of Australia"
30103101502,5,50,0,"Major Cities of Australia"
30103101503,5,48,0,"Major Cities of Australia"
30103101504,5,42,0,"Major Cities of Australia"
30103101505,9,84,0,"Major Cities of Australia"
30103101506,9,89,0,"Major Cities of Australia"
30103101507,NA,NA,0,"Major Cities of Australia"
30103101508,7,66,0,"Major Cities of Australia"
30103101509,9,87,0,"Major Cities of Australia"
30103101510,8,80,0,"Major Cities of Australia"
30103101511,7,61,0,"Major Cities of Australia"
30103101512,5,48,0,"Major Cities of Australia"
30103101513,9,87,0,"Major Cities of Australia"
30103101514,8,71,0,"Major Cities of Australia"
30103101515,7,68,0,"Major Cities of Australia"
30103101516,5,44,0,"Major Cities of Australia"
30103101517,8,72,0,"Major Cities of Australia"
30103101518,8,76,0,"Major Cities of Australia"
30103101519,6,52,0,"Major Cities of Australia"
30103101601,10,94,0,"Major Cities of Australia"
30103101602,10,98,0,"Major Cities of Australia"
30103101603,7,61,0,"Major Cities of Australia"
30103101604,8,80,0,"Major Cities of Australia"
30103101605,9,83,0,"Major Cities of Australia"
30103101606,10,95,0,"Major Cities of Australia"
30103101607,8,74,0,"Major Cities of Australia"
30103101608,6,57,0,"Major Cities of Australia"
30103101609,5,50,0,"Major Cities of Australia"
30103101610,7,62,0,"Major Cities of Australia"
30103101611,7,68,0,"Major Cities of Australia"
30103101612,7,64,0,"Major Cities of Australia"
30103101613,8,73,0,"Major Cities of Australia"
30103101614,5,41,0,"Major Cities of Australia"
30103101615,5,48,0,"Major Cities of Australia"
30103101616,3,26,0,"Major Cities of Australia"
30103101617,7,61,0,"Major Cities of Australia"
30103101618,6,58,0,"Major Cities of Australia"
30103101619,5,42,0,"Major Cities of Australia"
30103101620,8,77,0,"Major Cities of Australia"
30103101621,4,33,0,"Major Cities of Australia"
30103101622,7,70,0,"Major Cities of Australia"
30103101623,8,73,0,"Major Cities of Australia"
30103101624,5,50,0,"Major Cities of Australia"
30103101701,NA,NA,0,"Major Cities of Australia"
30103101702,10,98,0,"Major Cities of Australia"
30103101703,10,99,0,"Major Cities of Australia"
30103101704,9,90,0,"Major Cities of Australia"
30103101705,10,96,0,"Major Cities of Australia"
30103101706,3,30,0,"Major Cities of Australia"
30103101707,1,8,0,"Major Cities of Australia"
30103101708,7,63,0,"Major Cities of Australia"
30103101709,5,44,0,"Major Cities of Australia"
30103101710,6,54,0,"Major Cities of Australia"
30103101711,7,67,0,"Major Cities of Australia"
30103101801,6,59,0,"Major Cities of Australia"
30103101802,7,64,0,"Major Cities of Australia"
30103101803,4,38,0,"Major Cities of Australia"
30103101804,5,49,0,"Major Cities of Australia"
30103101805,4,40,0,"Major Cities of Australia"
30103101806,5,43,0,"Major Cities of Australia"
30103101807,6,60,0,"Major Cities of Australia"
30103101808,9,88,0,"Major Cities of Australia"
30103101809,7,67,0,"Major Cities of Australia"
30103101810,7,63,0,"Major Cities of Australia"
30103101811,9,88,0,"Major Cities of Australia"
30103101812,10,100,0,"Major Cities of Australia"
30103101813,9,88,0,"Major Cities of Australia"
30103101814,8,71,0,"Major Cities of Australia"
30103101815,2,20,0,"Major Cities of Australia"
30103101816,6,59,0,"Major Cities of Australia"
30103101817,6,53,0,"Major Cities of Australia"
30103101818,7,66,0,"Major Cities of Australia"
30103101819,7,62,0,"Major Cities of Australia"
30103101820,5,47,0,"Major Cities of Australia"
30103101821,NA,NA,0,"Major Cities of Australia"
30103101822,4,36,0,"Major Cities of Australia"
30103101823,NA,NA,0,"Major Cities of Australia"
30103101824,NA,NA,0,"Major Cities of Australia"
30103101901,10,100,0,"Major Cities of Australia"
30103101902,10,98,0,"Major Cities of Australia"
30103101903,10,94,0,"Major Cities of Australia"
30103101904,9,85,0,"Major Cities of Australia"
30103101905,10,100,0,"Major Cities of Australia"
30103101906,9,85,0,"Major Cities of Australia"
30103101907,10,97,0,"Major Cities of Australia"
30103101908,9,84,0,"Major Cities of Australia"
30103101909,10,91,0,"Major Cities of Australia"
30103101910,9,89,0,"Major Cities of Australia"
30103101911,9,90,0,"Major Cities of Australia"
30103101912,NA,NA,0,"Major Cities of Australia"
30103102001,5,50,0,"Major Cities of Australia"
30103102002,9,83,0,"Major Cities of Australia"
30103102003,7,70,0,"Major Cities of Australia"
30103102004,8,73,0,"Major Cities of Australia"
30103102005,3,22,0,"Major Cities of Australia"
30103102006,2,11,0,"Major Cities of Australia"
30103102007,4,36,0,"Major Cities of Australia"
30103102008,5,49,0,"Major Cities of Australia"
30103102009,5,44,0,"Major Cities of Australia"
30103102010,1,10,0,"Major Cities of Australia"
30103102011,2,18,0,"Major Cities of Australia"
30103102012,5,49,0,"Major Cities of Australia"
30103102013,7,63,0,"Major Cities of Australia"
30103102014,2,17,0,"Major Cities of Australia"
30103102015,7,63,0,"Major Cities of Australia"
30103102016,5,47,0,"Major Cities of Australia"
30103102017,6,57,0,"Major Cities of Australia"
30103102018,4,32,0,"Major Cities of Australia"
30103102019,7,61,0,"Major Cities of Australia"
30103102020,7,65,0,"Major Cities of Australia"
30103102021,4,32,0,"Major Cities of Australia"
30103102022,6,53,0,"Major Cities of Australia"
30103102023,8,73,0,"Major Cities of Australia"
30103102024,3,23,0,"Major Cities of Australia"
30103102025,9,89,0,"Major Cities of Australia"
30103102026,9,90,0,"Major Cities of Australia"
30103102027,10,91,0,"Major Cities of Australia"
30103102028,8,78,0,"Major Cities of Australia"
30103102029,NA,NA,0,"Major Cities of Australia"
30103102030,3,24,0,"Major Cities of Australia"
30103102101,7,65,0,"Major Cities of Australia"
30103102102,5,46,0,"Major Cities of Australia"
30103102103,5,49,0,"Major Cities of Australia"
30103102104,9,81,0,"Major Cities of Australia"
30103102105,8,78,0,"Major Cities of Australia"
30103102106,5,43,0,"Major Cities of Australia"
30103102107,6,57,0,"Major Cities of Australia"
30103102108,5,45,0,"Major Cities of Australia"
30103102109,3,21,0,"Major Cities of Australia"
30103102110,2,12,0,"Major Cities of Australia"
30103102111,2,19,0,"Major Cities of Australia"
30103102112,NA,NA,0,"Major Cities of Australia"
30103102113,1,3,0,"Major Cities of Australia"
30103102114,4,35,0,"Major Cities of Australia"
30103102114,4,35,0,"Major Cities of Australia"
30103102115,5,50,0,"Major Cities of Australia"
30103102116,6,55,0,"Major Cities of Australia"
30103102117,5,49,0,"Major Cities of Australia"
30103102118,5,46,0,"Major Cities of Australia"
30103102119,6,60,0,"Major Cities of Australia"
30103102120,2,13,0,"Major Cities of Australia"
30103102121,3,30,0,"Major Cities of Australia"
30103102122,1,1,0,"Major Cities of Australia"
30103102123,7,61,0,"Major Cities of Australia"
30103102124,6,57,0,"Major Cities of Australia"
30103102125,7,70,0,"Major Cities of Australia"
30103102126,8,75,0,"Major Cities of Australia"
30103102127,8,71,0,"Major Cities of Australia"
30103102128,3,27,0,"Major Cities of Australia"
30103102129,5,47,0,"Major Cities of Australia"
30103102130,4,39,0,"Major Cities of Australia"
30103102131,6,58,0,"Major Cities of Australia"
30103102132,6,54,0,"Major Cities of Australia"
30103102133,5,50,0,"Major Cities of Australia"
30103102134,6,56,0,"Major Cities of Australia"
30103102135,2,17,0,"Major Cities of Australia"
30103102136,3,24,0,"Major Cities of Australia"
30103102137,4,34,0,"Major Cities of Australia"
30201102201,NA,NA,0,"Major Cities of Australia"
30201102202,NA,NA,0,"Major Cities of Australia"
30201102203,10,97,0,"Major Cities of Australia"
30201102204,5,48,0,"Major Cities of Australia"
30201102205,6,60,0,"Major Cities of Australia"
30201102206,5,42,0,"Major Cities of Australia"
30201102207,5,42,0,"Major Cities of Australia"
30201102208,6,59,0,"Major Cities of Australia"
30201102209,7,70,0,"Major Cities of Australia"
30201102210,6,58,0,"Major Cities of Australia"
30201102211,7,62,0,"Major Cities of Australia"
30201102212,7,67,0,"Major Cities of Australia"
30201102213,6,60,0,"Major Cities of Australia"
30201102214,8,71,0,"Major Cities of Australia"
30201102215,7,66,0,"Major Cities of Australia"
30201102216,5,47,0,"Major Cities of Australia"
30201102217,7,66,0,"Major Cities of Australia"
30201102218,5,45,0,"Major Cities of Australia"
30201102219,NA,NA,0,"Major Cities of Australia"
30201102301,8,73,0,"Major Cities of Australia"
30201102302,10,94,0,"Major Cities of Australia"
30201102303,10,95,0,"Major Cities of Australia"
30201102304,10,97,0,"Major Cities of Australia"
30201102305,10,99,0,"Major Cities of Australia"
30201102306,10,99,0,"Major Cities of Australia"
30201102307,10,100,0,"Major Cities of Australia"
30201102308,10,99,0,"Major Cities of Australia"
30201102309,10,95,0,"Major Cities of Australia"
30201102310,9,89,0,"Major Cities of Australia"
30201102311,10,96,0,"Major Cities of Australia"
30201102312,10,100,0,"Major Cities of Australia"
30201102313,10,98,0,"Major Cities of Australia"
30201102314,10,100,0,"Major Cities of Australia"
30201102315,10,98,0,"Major Cities of Australia"
30201102316,10,93,0,"Major Cities of Australia"
30201102317,5,45,0,"Major Cities of Australia"
30201102318,10,96,0,"Major Cities of Australia"
30201102319,8,78,0,"Major Cities of Australia"
30201102401,9,82,0,"Major Cities of Australia"
30201102402,9,89,0,"Major Cities of Australia"
30201102403,8,71,0,"Major Cities of Australia"
30201102404,6,51,0,"Major Cities of Australia"
30201102405,10,92,0,"Major Cities of Australia"
30201102406,7,67,0,"Major Cities of Australia"
30201102407,9,84,0,"Major Cities of Australia"
30201102408,9,83,0,"Major Cities of Australia"
30201102409,6,55,0,"Major Cities of Australia"
30201102410,NA,NA,0,"Major Cities of Australia"
30201102411,10,95,0,"Major Cities of Australia"
30201102412,6,54,0,"Major Cities of Australia"
30201102413,10,94,0,"Major Cities of Australia"
30201102414,10,93,0,"Major Cities of Australia"
30201102415,9,84,0,"Major Cities of Australia"
30201102416,NA,NA,0,"Major Cities of Australia"
30201102417,10,92,0,"Major Cities of Australia"
30201102501,10,92,0,"Major Cities of Australia"
30201102502,8,75,0,"Major Cities of Australia"
30201102503,8,78,0,"Major Cities of Australia"
30201102504,10,94,0,"Major Cities of Australia"
30201102505,8,77,0,"Major Cities of Australia"
30201102506,8,71,0,"Major Cities of Australia"
30201102507,4,37,0,"Major Cities of Australia"
30201102508,5,48,0,"Major Cities of Australia"
30201102509,4,39,0,"Major Cities of Australia"
30201102510,7,65,0,"Major Cities of Australia"
30201102511,5,47,0,"Major Cities of Australia"
30201102512,6,58,0,"Major Cities of Australia"
30201102513,10,97,0,"Major Cities of Australia"
30201102514,9,90,0,"Major Cities of Australia"
30201102515,7,70,0,"Major Cities of Australia"
30201102516,5,43,0,"Major Cities of Australia"
30201102517,7,65,0,"Major Cities of Australia"
