"SA2_CODE16","median_time_to_acute_care","min_time_to_acute_care","max_time_to_acute_care","median_time_to_rehab_care","min_time_to_rehab_care","max_time_to_rehab_care","iTRAQI_index"
301031018,31.8883784388345,24.7297468038622,38.565063919136,21.3374411243325,18.1894444307786,25.3267799532775,"1A"
301031019,38.0378214080395,35.0020249887525,43.0811987499619,24.2089170761202,22.5566034779783,26.7419982193084,"1A"
301031020,43.3599866035447,39.197615653691,47.8349121890457,29.2706469011014,27.2065266598399,31.2088398308033,"1A"
301031021,37.4708760637924,27.9315693054439,42.0900327996897,25.6097599472909,21.2649341301162,27.9642709236414,"1A"
302011022,30.9028770656159,26.4852069060187,36.4459513220503,25.8349139387515,23.2490744744733,29.5078811235747,"1A"
302011023,22.6723267245398,19.9514366058006,27.3093013303839,20.2199327919011,18.9324909171313,23.4341226197404,"1A"
302011024,24.0739369262231,21.8775658967001,25.8121494875691,21.6870813468711,20.3739768569424,22.8027150446428,"1A"
302011025,15.140901292334,13.0974860493395,18.7217999972317,15.7808339998857,14.5763949820882,17.6444051291387,"1A"
302011026,18.0619649972473,15.8887398844,21.113919340093,17.6331645773114,16.278108654371,19.1258450401681,"1A"
302021027,20.0472448931192,18.046510309323,22.1563190954223,19.4352552561863,18.2021493438529,20.7472739612125,"1A"
302021028,15.8164810505461,14.5833309449775,17.6844296995348,17.257919103123,16.4647057588534,18.279606308738,"1A"
302021029,16.5550911633806,14.8119430100368,18.1032960250067,17.1694770782717,16.3737335569234,18.2384806867751,"1A"
302021030,19.7067392213468,18.213283800595,22.1945433015038,19.564649093988,18.6355882223917,21.0665459947029,"1A"
302021031,10.7585052200336,7.06797876114445,13.8621849313336,14.2265727247581,12.2675130406991,16.0585964217992,"1A"
302021032,10.989413261585,8.53355701326024,13.416049756718,14.086618810959,12.8815009129382,15.0531285097368,"1A"
302021033,13.7333834727221,11.6525101757981,15.4691344965047,15.5790505719096,14.6577495508357,16.3340400389043,"1A"
302021034,16.1771550108085,13.1858591525108,18.5594372128604,17.4911815460136,15.7525667039281,18.8833323484741,"1A"
302031035,26.5348464182916,23.8595306071154,31.3914510070202,23.6773657832225,22.0733780108976,26.7256055611404,"1A"
