"SA2_CODE21","value","min","max"
"304011081",26.6707245774464,25.0617523096432,29.0554775415035
"304011082",28.9896445472504,27.4646090713666,30.7885816767775
"304011083",31.8297770896802,30.7156455236498,33.3716657668338
"304011084",25.3014535261755,23.5728731695154,27.1563557201395
"304011085",31.2211837211363,29.4958595510588,31.8085851378914
"304021086",36.5987739680895,32.7601900616057,40.2152232357042
"304021087",30.7725408441953,24.0019457200657,54.8405142535217
"304021088",21.7752341248624,19.6089096981585,23.5681067343113
"304021089",22.3070632342889,20.730240217228,22.8663371316579
"304021090",24.2567341727443,22.2955795659452,26.8826720840262
"304021091",36.8400011652273,27.9423924015076,45.8839165514964
"304031092",18.703668284264,18.1666147583979,19.9877218841489
"304031093",21.7921820957591,20.0991255894259,22.8893814855529
"304031094",17.3930178499819,15.8860326205933,21.3562467327917
"304031095",20.2716793903227,19.0859067374259,21.390244192395
"304031096",13.7881357173967,12.4760998629667,15.2843526978776
"304031097",15.4013125234608,13.9205928756425,17.2422680297654
"304041098",12.8251079533651,10.7112079386769,18.4458971552305
"304041099",39.1139654245187,26.2806007976994,58.5470765217228
"304041100",20.4503808833393,18.2554173598697,23.4401665572436
"304041101",16.9879550287003,15.0158003648276,19.0283518703757
"304041102",19.9880681922133,14.7494845423649,26.3362915517053
"304041103",21.5821868856442,16.2534308850204,25.4215162934833
"304041104",28.0034844537265,23.2872616566447,32.4255499979974
"305011105",7.22128401411169,5.39069849187081,8.93168112070907
"305011106",4.27523097650226,2.12231376527245,5.44409091458289
"305011107",11.4227795562568,10.4206940823242,12.1659846915072
"305011108",9.07329688375273,6.72981082540667,11.0121473270952
"305011109",8.0357706137961,5.60873782448101,9.95442405808427
"305011110",9.4071503098402,8.22287727743804,11.165387437335
"305011111",5.12838518700408,2.98244188246963,5.87693123615526
"305011112",11.3337558376357,9.62188657892528,12.6170593479159
"305021113",12.0578753652701,10.7355505274697,14.0711123127607
"305021114",9.52166738590296,7.5927084009154,11.7728133832794
"305021115",11.4782548163308,10.157290126275,12.6389818436014
"305021116",10.4480007354342,8.98195568218222,11.9966968494656
"305021117",15.0969303916211,12.2642547111652,18.2559280301576
"305021118",13.2342227844621,10.9083916635485,16.3271209545759
"305031119",7.19602122417967,5.84136393527683,8.49793857575429
"305031120",9.25062870486806,7.97387658056402,10.1730040827975
"305031121",12.2064271931325,8.88565300287121,15.6418248905971
"305031122",11.148938592638,8.38580908229591,13.9654448103878
"305031123",7.11375989031015,5.94161048510563,9.05726730395185
"305031124",10.64241434432,7.01868053423294,14.9776330111922
"305031125",14.7062753316595,12.3177003594159,16.9877973816321
"305031126",4.35300465522951,0.441763468051022,5.87501958616809
"305031127",6.4068038066161,5.03921096147673,8.18319250394921
"305031128",5.53268924384196,1.10649737626585,8.02271414479509
"305031129",4.3138698038527,2.90794696259309,5.35759942570604
"305031130",4.54762791645518,1.85850059759241,5.98857818954951
"305031131",8.63201483740494,6.43414705360857,12.7628509570749
"305041132",10.4604151103334,7.14157585713383,16.1278443783672
"305041133",11.1695541394487,10.2468197506616,11.9360340589479
"305041134",12.2337165233079,9.99831617830995,14.9471840560767
"305041135",8.93052298800285,6.59548297287478,10.6192546644385
"305041136",7.20438484620837,5.55090925067799,9.3657848706406
"305041137",13.4461968982075,11.7407327778973,16.088339637651
"306011138",178.269210337677,177.088251204377,179.356279111309
"306011139",194.006601282182,185.014534331262,202.366129127715
"306011140",176.61273448679,173.280500148092,179.552607056824
"306011141",181.298245187499,177.611723792704,190.391832637154
"306011142",185.311478401446,181.610520048809,190.034513542163
"306011143",180.094743185751,175.505628805465,183.904598142832
"306021144",183.583202212008,182.161482410181,185.02407650755
"306021145",172.410547708079,171.977935100006,173.636506645248
"306021146",178.438642531798,175.605189810716,179.655344165096
