"id","town_name","x","y","centre","minutes"
1217,"Innes Park",152.4823,-24.88137,"Gympie Hospital",135.33108674
1218,"Tambo",146.2549,-24.88339,"Central West Sub-Acute Service",196.4561634
1219,"Sharon",152.2587,-24.88377,"Gympie Hospital",133.09292477
1220,"Elliott Heads",152.4888,-24.9178,"Gympie Hospital",137.06217543
1221,"Theodore",150.075,-24.94678,"Rockhampton Hospital",140.39542312
1222,"South Bingera",152.2194,-24.96842,"Gympie Hospital",120.40106132
1223,"Gin Gin",151.9557,-24.99157,"Gympie Hospital",130.83920626
1224,"Woodgate",152.5506,-25.0964,"Gympie Hospital",115.14374972
1225,"Cordalba",152.2111,-25.15681,"Gympie Hospital",105.04219146
1226,"Mount Perry",151.6442,-25.18036,"Gympie Hospital",165.59883874
1227,"Burrum Heads",152.609,-25.18701,"Gympie Hospital",86.73335173
1228,"Burrum Heads - East",152.6334,-25.21101,"Gympie Hospital",85.58766195
1229,"Apple Tree Creek",152.2338,-25.22391,"Gympie Hospital",98.47042623
1230,"Burrum Heads - South",152.5934,-25.23535,"Gympie Hospital",82.78587132
1231,"Childers",152.2765,-25.23536,"Gympie Hospital",93.78146891
1232,"Toogoom",152.6898,-25.25614,"Gympie Hospital",84.14939263
1233,"Pacific Haven",152.5565,-25.26683,"Gympie Hospital",80.56699047
1234,"Hervey Bay",152.8722,-25.28535,"Gympie Hospital",93.6256927
1235,"Howard",152.5602,-25.31648,"Gympie Hospital",75.79119858
1236,"Torbanlea",152.596,-25.34752,"Gympie Hospital",72.42341975
1237,"Walligan",152.771,-25.35161,"Gympie Hospital",78.43612743
1238,"Sunshine Acres",152.7889,-25.35801,"Gympie Hospital",80.33911219
1239,"Booral",152.9037,-25.36202,"Gympie Hospital",88.49877949
1240,"Eidsvold",151.1221,-25.37064,"Gympie Hospital",154.93388367
1241,"River Heads",152.9102,-25.39864,"Gympie Hospital",91.91193603
1242,"Aldershot",152.6613,-25.46311,"Gympie Hospital",63.24853279
1243,"Biggenden",152.0449,-25.50952,"Gympie Hospital",81.32511479
1244,"Oakhurst",152.6206,-25.51008,"Gympie Hospital",65.10509803
1245,"Maryborough",152.6935,-25.52726,"Gympie Hospital",61.60736093
1246,"Mundubbera",151.2992,-25.59115,"Gympie Hospital",131.35589537
1247,"Maaroom",152.8722,-25.61156,"Gympie Hospital",58.64276057
1248,"Gayndah",151.6074,-25.62451,"Gympie Hospital",104.06433475
1249,"Taroom",149.7974,-25.6412,"Roma Hospital",107.90624452
1250,"Boonooroo - Tuan",152.8771,-25.6788,"Gympie Hospital",55.74438124
1251,"Poona",152.9052,-25.71673,"Gympie Hospital",53.45662156
1252,"Tiaro",152.584,-25.725,"Gympie Hospital",42.22491841
1253,"Augathella",146.5842,-25.79596,"Roma Hospital",171.70648742
1254,"Injune",148.5651,-25.84311,"Roma Hospital",59.5551316
1255,"Bauple Forest",152.636,-25.85212,"Gympie Hospital",39.66651087
1256,"Rainbow Beach",153.0922,-25.90782,"Gympie Hospital",53.22456033
1257,"Tin Can Bay",153.0031,-25.91357,"Gympie Hospital",39.68284476
1258,"Glenwood",152.6324,-25.94735,"Gympie Hospital",28.65255854
1259,"Cooloola Village",152.982,-25.97598,"Gympie Hospital",41.08463529
1260,"Curra",152.5881,-26.07081,"Gympie Hospital",15.08238454
1261,"Kilkivan",152.2399,-26.08621,"Gympie Hospital",35.04031316
1262,"Wandoan",149.9628,-26.12088,"Roma Hospital",111.2589025
1263,"Proston",151.603,-26.16377,"Gympie Hospital",95.11829144
1264,"Goomeri",152.0647,-26.18048,"Gympie Hospital",53.02007669
1265,"Gympie",152.6706,-26.18893,"Gympie Hospital",3.55737437
1266,"The Palms",152.5889,-26.19336,"Gympie Hospital",10.31147673
1267,"Nahrunda",152.6127,-26.20237,"Gympie Hospital",7.60932069
1268,"Gowrie",146.3207,-26.23114,"Roma Hospital",184.3854717
1269,"Pie Creek",152.6277,-26.23769,"Gympie Hospital",8.77834448
1270,"Murgon",151.9402,-26.24246,"Gympie Hospital",64.33752054
1271,"Boreen Point",152.9952,-26.28443,"Gympie Hospital",45.2908183
1272,"Cherbourg",151.9565,-26.28971,"Gympie Hospital",67.41189027
1273,"Wondai",151.8736,-26.32045,"Gympie Hospital",75.49944651
1274,"Cooran",152.8222,-26.33805,"Gympie Hospital",27.5501409
1275,"Amamoor",152.6748,-26.34607,"Gympie Hospital",19.41181968
1276,"Cooroibah",152.9939,-26.35897,"Gympie Hospital",47.81567912
1277,"Pomona",152.8533,-26.36256,"Gympie Hospital",32.47140819
1278,"Forest Acres",152.9413,-26.36638,"Gympie Hospital",38.77978053
1279,"Black Mountain",152.8819,-26.40467,"Gympie Hospital",30.41883176
1280,"Charleville",146.2416,-26.40697,"Roma Hospital",170.27740064
1281,"Sunshine Beach",153.1058,-26.41021,"Sunshine Coast University Hospital",42.03553826
1282,"Cooroy",152.9089,-26.41875,"Gympie Hospital",33.7968905
1283,"Doonan - Tinbeerwah",153.0119,-26.43781,"Sunshine Coast University Hospital",37.09115233
1284,"Weyba Downs",153.0474,-26.45561,"Sunshine Coast University Hospital",34.35857819
1285,"Imbil",152.677,-26.46119,"Gympie Hospital",29.25376578
1286,"Eumundi",152.9513,-26.47643,"Sunshine Coast University Hospital",32.40173603
1287,"Mitchell",147.976,-26.48827,"Roma Hospital",56.98289184
1288,"Kingaroy",151.8443,-26.53645,"Gympie Hospital",95.63858531
1289,"Yandina",152.9565,-26.56212,"Sunshine Coast University Hospital",26.89499601
1290,"Roma",148.7879,-26.57094,"Roma Hospital",2.34948509
1291,"Wallumbilla",149.187,-26.58483,"Roma Hospital",29.72589773
1292,"Kenilworth",152.727,-26.59522,"Gympie Hospital",45.35346136
1293,"Kureelpa",152.8837,-26.60834,"Sunshine Coast University Hospital",33.6526885
1294,"Yuleba",149.381,-26.61304,"Roma Hospital",42.22916006
1295,"Quilpie",144.2683,-26.61502,"Roma Hospital",300.76333997
1296,"Mapleton",152.8651,-26.62074,"Sunshine Coast University Hospital",35.43026623
1297,"Nambour",152.9592,-26.62753,"Sunshine Coast University Hospital",24.53916437
1298,"Kiels Mountain",153.001,-26.6527,"Sunshine Coast University Hospital",21.69074734
1299,"Flaxton",152.8647,-26.65557,"Sunshine Coast University Hospital",36.50201304
1300,"Miles",150.1857,-26.65858,"Roma Hospital",93.86974771
1301,"Woombye",152.9666,-26.66148,"Sunshine Coast University Hospital",21.06951504
1302,"Nanango",151.9992,-26.6713,"Gympie Hospital",90.82035647
1303,"Palmwoods",152.9568,-26.69113,"Sunshine Coast University Hospital",25.46791226
1304,"Witta",152.8107,-26.70454,"Sunshine Coast University Hospital",39.64445882
1305,"Chinchilla",150.628,-26.74202,"Roma Hospital",126.97711187
1306,"Maleny",152.848,-26.75878,"Sunshine Coast University Hospital",31.31055197
1307,"Mooloolah",152.9616,-26.76553,"Sunshine Coast University Hospital",18.06490601
1308,"Glenview",153.0204,-26.76952,"Sunshine Coast University Hospital",13.47485045
1309,"Jandowae",151.1101,-26.78068,"Gympie Hospital",156.15233598
1310,"Landsborough",152.9652,-26.80826,"Sunshine Coast University Hospital",16.93132065
1311,"Yarraman",151.9796,-26.84046,"Gympie Hospital",104.54572659
1312,"Peachester",152.8871,-26.84242,"Sunshine Coast University Hospital",30.85408771
1313,"Beerwah",152.954,-26.85293,"Sunshine Coast University Hospital",21.31872741
1314,"Blackbutt",152.1042,-26.88722,"Sunshine Coast University Hospital",105.96418224
1315,"Glass House Mountain",152.9507,-26.89771,"Sunshine Coast University Hospital",25.31324939
1316,"Bell",151.4491,-26.93176,"Gympie Hospital",148.36254419
1317,"Beerburrum - North",152.957,-26.93545,"Sunshine Coast University Hospital",25.11491185
1318,"Kilcoy",152.5638,-26.94019,"Sunshine Coast University Hospital",59.53987013
1319,"Woodford",152.778,-26.95557,"Sunshine Coast University Hospital",47.96974656
1320,"Beerburrum",152.955,-26.96138,"Sunshine Coast University Hospital",28.21304702
1321,"D'Aguilar",152.7984,-26.98884,"Sunshine Coast University Hospital",45.176408
1322,"Delaneys Creek",152.7971,-27.00308,"Sunshine Coast University Hospital",45.66503073
1323,"Donnybrook",153.0662,-27.00662,"Sunshine Coast University Hospital",31.21227216
1324,"Toorbul",153.0991,-27.03348,"Sunshine Coast University Hospital",37.13356997
1325,"Wamuran",152.8643,-27.04069,"Sunshine Coast University Hospital",37.64045309
1326,"Ningi",153.1051,-27.06703,"Sunshine Coast University Hospital",40.86727266
1327,"Woorim",153.2035,-27.07303,"Sunshine Coast University Hospital",54.24734207
1328,"Sandstone Point",153.1273,-27.08295,"Sunshine Coast University Hospital",44.35734531
1329,"Bongaree",153.1626,-27.08546,"Sunshine Coast University Hospital",51.03222977
1330,"Toogoolawah",152.3753,-27.08821,"Brain Injury Rehabilitation Unit",82.62366994
1331,"Beachmere",153.0514,-27.12968,"Sunshine Coast University Hospital",39.55953159
1332,"Surat",149.0666,-27.15384,"Roma Hospital",53.42778452
1333,"Dalby",151.261,-27.18328,"Brain Injury Rehabilitation Unit",137.77687653
1334,"Dayboro",152.8215,-27.19792,"Brain Injury Rehabilitation Unit",49.10065275
1335,"Esk",152.4179,-27.23674,"Brain Injury Rehabilitation Unit",69.77455894
1336,"Crows Nest",152.0506,-27.26153,"Brain Injury Rehabilitation Unit",112.27559275
1337,"Tara",150.4556,-27.27772,"Roma Hospital",149.34410499
1338,"Goombungee",151.8502,-27.30485,"Brain Injury Rehabilitation Unit",111.93125337
1339,"Mount Glorious",152.7701,-27.33397,"Brain Injury Rehabilitation Unit",48.40423478
1340,"Samford Valley - Highvale",152.8394,-27.36508,"Brain Injury Rehabilitation Unit",35.6333058
1341,"Samford",152.8849,-27.37146,"Brain Injury Rehabilitation Unit",30.56607673
1342,"Mount Nebo",152.7795,-27.39084,"Brain Injury Rehabilitation Unit",43.93633549
