"id","town_name","x","y","rehab_centre","minutes"
1203,"Taylors Creek",149.1545,-24.25325,"Rockhampton Hospital",314.13049746
1204,"Miriam Vale",151.5583,-24.328,"Rockhampton Hospital",209.97753499
1205,"Biloela",150.5098,-24.39602,"Rockhampton Hospital",242.24137348
1206,"Blackall",145.4645,-24.42336,"Central West Sub-Acute Service",378.82867252
1207,"Thangool",150.5751,-24.48738,"Rockhampton Hospital",241.871241535
1208,"Moura",149.9719,-24.57498,"Rockhampton Hospital",261.925335055
1209,"Moore Park",152.2757,-24.71776,"Gympie Hospital",207.068653835
1210,"Burnett Heads",152.4149,-24.76892,"Gympie Hospital",196.30246226
1211,"Bargara",152.4607,-24.81453,"Gympie Hospital",195.452741265
1212,"Gooburrum",152.345,-24.81685,"Gympie Hospital",195.49034591
1213,"Sloping Hummock",152.4252,-24.8436,"Gympie Hospital",190.75888611
1214,"Oakwood",152.298,-24.85082,"Gympie Hospital",192.79166564
1215,"Monto",151.1207,-24.86547,"Rockhampton Hospital",242.880433405
1216,"Bundaberg",152.3444,-24.87052,"Gympie Hospital",188.08093643
1217,"Innes Park",152.4823,-24.88137,"Gympie Hospital",192.409762775
1218,"Tambo",146.2549,-24.88339,"Central West Sub-Acute Service",377.877825305
1219,"Sharon",152.2587,-24.88377,"Gympie Hospital",190.17073919
1220,"Elliott Heads",152.4888,-24.9178,"Gympie Hospital",194.13847464
1221,"Theodore",150.075,-24.94678,"Rockhampton Hospital",254.564055835
1222,"South Bingera",152.2194,-24.96842,"Gympie Hospital",177.473464025
1223,"Gin Gin",151.9557,-24.99157,"Gympie Hospital",187.9205637
1224,"Woodgate",152.5506,-25.0964,"Gympie Hospital",172.22448757
1225,"Cordalba",152.2111,-25.15681,"Gympie Hospital",162.127536125
1226,"Mount Perry",151.6442,-25.18036,"Gympie Hospital",222.81074911
1227,"Burrum Heads",152.609,-25.18701,"Gympie Hospital",143.84313594
1228,"Burrum Heads - East",152.6334,-25.21101,"Gympie Hospital",142.699116155
1229,"Apple Tree Creek",152.2338,-25.22391,"Gympie Hospital",155.579401835
1230,"Burrum Heads - South",152.5934,-25.23535,"Gympie Hospital",139.89799348
1231,"Childers",152.2765,-25.23536,"Gympie Hospital",150.89006065
1232,"Toogoom",152.6898,-25.25614,"Gympie Hospital",141.2610208
1233,"Pacific Haven",152.5565,-25.26683,"Gympie Hospital",137.67282888
1234,"Hervey Bay",152.8722,-25.28535,"Gympie Hospital",150.73428445
1235,"Howard",152.5602,-25.31648,"Gympie Hospital",132.897119615
1236,"Torbanlea",152.596,-25.34752,"Gympie Hospital",129.548418005
1237,"Walligan",152.771,-25.35161,"Gympie Hospital",135.542637465
1238,"Sunshine Acres",152.7889,-25.35801,"Gympie Hospital",137.44560011
1239,"Booral",152.9037,-25.36202,"Gympie Hospital",145.606301165
1240,"Eidsvold",151.1221,-25.37064,"Gympie Hospital",212.189615845
1241,"River Heads",152.9102,-25.39864,"Gympie Hospital",149.020150095
1242,"Aldershot",152.6613,-25.46311,"Gympie Hospital",120.3877298
1243,"Biggenden",152.0449,-25.50952,"Gympie Hospital",138.42951925
1244,"Oakhurst",152.6206,-25.51008,"Gympie Hospital",122.24219244
1245,"Maryborough",152.6935,-25.52726,"Gympie Hospital",118.736034825
1246,"Mundubbera",151.2992,-25.59115,"Gympie Hospital",188.43640377
1247,"Maaroom",152.8722,-25.61156,"Gympie Hospital",113.787637455
1248,"Gayndah",151.6074,-25.62451,"Gympie Hospital",161.155053205
1249,"Taroom",149.7974,-25.6412,"Roma Hospital",207.957524475
1250,"Boonooroo - Tuan",152.8771,-25.6788,"Gympie Hospital",110.89148217
1251,"Poona",152.9052,-25.71673,"Gympie Hospital",108.59372861
1252,"Tiaro",152.584,-25.725,"Gympie Hospital",99.371458455
1253,"Augathella",146.5842,-25.79596,"Roma Hospital",330.095013665
1254,"Injune",148.5651,-25.84311,"Roma Hospital",217.55553453
1255,"Bauple Forest",152.636,-25.85212,"Gympie Hospital",96.814315275
1256,"Rainbow Beach",153.0922,-25.90782,"Gympie Hospital",108.36166738
1257,"Tin Can Bay",153.0031,-25.91357,"Gympie Hospital",94.839136265
1258,"Glenwood",152.6324,-25.94735,"Gympie Hospital",85.80235912
1259,"Cooloola Village",152.982,-25.97598,"Gympie Hospital",96.241809235
1260,"Curra",152.5881,-26.07081,"Gympie Hospital",71.829087465
1261,"Kilkivan",152.2399,-26.08621,"Gympie Hospital",92.19596873
1262,"Wandoan",149.9628,-26.12088,"Roma Hospital",191.004652975
1263,"Proston",151.603,-26.16377,"Gympie Hospital",152.227544725
1264,"Goomeri",152.0647,-26.18048,"Gympie Hospital",110.157022345
1265,"Gympie",152.6706,-26.18893,"Gympie Hospital",58.968224905
1266,"The Palms",152.5889,-26.19336,"Gympie Hospital",65.82183044
1267,"Nahrunda",152.6127,-26.20237,"Gympie Hospital",63.098330335
1268,"Gowrie",146.3207,-26.23114,"Roma Hospital",342.75143901
1269,"Pie Creek",152.6277,-26.23769,"Gympie Hospital",61.709738985
1270,"Murgon",151.9402,-26.24246,"Gympie Hospital",121.47632436
1271,"Boreen Point",152.9952,-26.28443,"Gympie Hospital",77.821716035
1272,"Cherbourg",151.9565,-26.28971,"Gympie Hospital",124.556759535
1273,"Wondai",151.8736,-26.32045,"Gympie Hospital",130.10546572
1274,"Cooran",152.8222,-26.33805,"Gympie Hospital",64.71663162
1275,"Amamoor",152.6748,-26.34607,"Gympie Hospital",63.17442681
1276,"Cooroibah",152.9939,-26.35897,"Gympie Hospital",76.349732875
1277,"Pomona",152.8533,-26.36256,"Gympie Hospital",64.09896967
1278,"Forest Acres",152.9413,-26.36638,"Gympie Hospital",67.20464219
1279,"Black Mountain",152.8819,-26.40467,"Gympie Hospital",61.40989114
1280,"Charleville",146.2416,-26.40697,"Roma Hospital",328.665977255
1281,"Sunshine Beach",153.1058,-26.41021,"Sunshine Coast University Hospital",72.63108456
1282,"Cooroy",152.9089,-26.41875,"Gympie Hospital",60.96875212
1283,"Doonan - Tinbeerwah",153.0119,-26.43781,"Sunshine Coast University Hospital",64.457888505
1284,"Weyba Downs",153.0474,-26.45561,"Sunshine Coast University Hospital",63.863793215
1285,"Imbil",152.677,-26.46119,"Gympie Hospital",70.67323711
1286,"Eumundi",152.9513,-26.47643,"Sunshine Coast University Hospital",58.530946095
1287,"Mitchell",147.976,-26.48827,"Roma Hospital",215.935451725
1288,"Kingaroy",151.8443,-26.53645,"Gympie Hospital",128.12553584
